Questions,Answers
What is corona virus,"Corona viruses are a large family of viruses which may cause illness
in animals or humans. In humans, several coronaviruses are known
to cause respiratory infections ranging from the common cold to more
severe diseases such as Middle East Respiratory Syndrome (MERS)
and Severe Acute Respiratory Syndrome (SARS). The most recently
discovered coronavirus causes coronavirus disease COVID-19. "
"What is COVID-19
COVID-19 is the infectious disease caused by the most recently
discovered corona virus. This new virus and disease were unknown
before the outbreak began in Wuhan, China, in December 2019.","COVID-19 is the infectious disease caused by the most recently
discovered corona virus. This new virus and disease were unknown
before the outbreak began in Wuhan, China, in December 2019."
What are the symptoms of COVID-19,"The most common symptoms of COVID-19 are fever, tiredness, and
dry cough. Some patients may have aches and pains, nasal
congestion, runny nose, sore throat or diarrhea. These symptoms are
usually mild and begin gradually. Some people become infected but
don’t develop any symptoms and don't feel unwell. Most people
(about 80%) recover from the disease without needing special
treatment. Around 1 out of every 6 people who gets COVID-19
becomes seriously ill and develops difficulty breathing. Older people,
and those with underlying medical problems like high blood pressure,
heart problems or diabetes, are more likely to develop serious illness.
People with fever, cough and difficulty breathing should seek medical
attention"
How does COVID-19 spread,"People can catch COVID-19 from others who have the virus. The
disease can spread from person to person through small droplets from
the nose or mouth which are spread when a person with COVID-19
coughs or exhales. These droplets land on objects and surfaces
around the person. Other people then catch COVID-19 by touching
these objects or surfaces, then touching their eyes, nose or mouth.
People can also catch COVID-19 if they breathe in droplets from a
person with COVID-19 who coughs out or exhales droplets. This is
why it is important to stay more than 1 meter (3 feet) away from a
person who is sick."
Can the virus that causes COVID-19 be transmitted through the air?,"People can catch COVID-19 from others who have the virus. The
disease can spread from person to person through small droplets from
the nose or mouth which are spread when a person with COVID-19
coughs or exhales. These droplets land on objects and surfaces
around the person. Other people then catch COVID-19 by touching
these objects or surfaces, then touching their eyes, nose or mouth.
People can also catch COVID-19 if they breathe in droplets from a
person with COVID-19 who coughs out or exhales droplets. This is
why it is important to stay more than 1 meter (3 feet) away from a
person who is sick."
Can CoVID-19 be caught from a person who has no symptoms?,"The main way the disease spreads is through respiratory droplets
expelled by someone who is coughing. The risk of catching COVID-19
from someone with no symptoms at all is very low. However, many
people with COVID-19 experience only mild symptoms. This is
particularly true at the early stages of the disease. It is therefore
possible to catch COVID-19 from someone who has, for example, just
a mild cough and does not feel ill."
"What can I do to protect myself and prevent the spread of
disease","Regularly and thoroughly clean your hands with an alcoholbased
hand rub or wash them with soap and water.
Why? Washing your hands with soap and water or using
alcohol-based hand rub kills viruses that may be on your hands.
Maintain at least 1 metre (3 feet) distance between yourself and
anyone who is coughing or sneezing.
Why? When someone coughs or sneezes they spray small liquid
droplets from their nose or mouth which may contain virus. If you
are too close, you can breathe in the droplets, including the
COVID-19 virus if the person coughing has the disease."
How likely am I to catch COVID-19?,"The risk depends on where you are - and more specifically, whether
there is a COVID-19 outbreak unfolding there.
For most people in most locations the risk of catching COVID-19 is
still low. However, there are now places around the world (cities or
areas) where the disease is spreading. For people living in, or visiting,
these areas the risk of catching COVID-19 is higher. Governments
and health authorities are taking vigorous action every time a new
case of COVID-19 is identified. Be sure to comply with any local
restrictions on travel, movement or large gatherings. Cooperating with
disease control efforts will reduce your risk of catching or spreading
COVID-19.
COVID-19 outbreaks can be contained and transmission stopped, as
has been shown in China and some other countries. Unfortunately,
new outbreaks can emerge rapidly. It’s important to be aware of the
situation where you are or intend to go."
Who is at risk of developing severe illness,"While we are still learning about how COVID-2019 affects people,
older persons and persons with pre-existing medical conditions (such
as high blood pressure, heart disease, lung disease, cancer or
diabetes) appear to develop serious illness more often than others."
Are antibiotics effective in preventing or treating the COVID-19?,"No. Antibiotics do not work against viruses, they only work on
bacterial infections. COVID-19 is caused by a virus, so antibiotics do
not work. Antibiotics should not be used as a means of prevention or
treatment of COVID-19. They should only be used as directed by a
physician to treat a bacterial infection."
"Are there any medicines or therapies that can prevent or cure
COVID-19","While some western, traditional or home remedies may provide
comfort and alleviate symptoms of COVID-19, there is no evidence
that current medicine can prevent or cure the disease. We does not
recommend self-medication with any medicines, including antibiotics,
as a prevention or cure for COVID-19. However, there are several
ongoing clinical trials that include both western and traditional
medicines. We will continue to provide updated information as soon
as clinical findings are available."
Is there a vaccine drug or treatment for COVID-19,"Not yet. To date, there is no vaccine and no specific antiviral medicine
to prevent or treat COVID-2019. However, those affected should
receive care to relieve symptoms. People with serious illness should
be hospitalized. Most patients recover thanks to supportive care.
Possible vaccines and some specific drug treatments are under
investigation. They are being tested through clinical trials.
The most effective ways to protect yourself and others against
COVID-19 are to frequently clean your hands, cover your cough with
the bend of elbow or tissue, and maintain a distance of at least 1
meter (3 feet) from people who are coughing or sneezing"
Should I wear mask to protect myself,"Only wear a mask if you are ill with COVID-19 symptoms (especially
coughing) or looking after someone who may have COVID-19.
Disposable face mask can only be used once. If you are not ill or
looking after someone who is ill then you are wasting a mask. There is
a world-wide shortage of masks, so We urge people to use masks
wisely.
We advises rational use of medical masks to avoid unnecessary
wastage of precious resources and mis-use of masks The most
effective ways to protect yourself and others against COVID-19 are to
frequently clean your hands, cover your cough with the bend of elbow
or tissue and maintain a distance of at least 1 meter (3 feet) from
people who are coughing or sneezing."
How long is the incubation period for COVID-19?,"The “incubation period” means the time between catching the virus
and beginning to have symptoms of the disease. Most estimates of
the incubation period for COVID-19 range from 1-14 days, most
commonly around five days. These estimates will be updated as more
data become available."
How long does the virus survive on surfaces?,"It is not certain how long the virus that causes COVID-19 survives on
surfaces, but it seems to behave like other corona viruses. Studies
suggest that corona viruses (including preliminary information on the
COVID-19 virus) may persist on surfaces for a few hours or up to
several days. This may vary under different conditions (e.g. type of
surface, temperature or humidity of the environment)."
Is there anything I should not do?,"The following measures ARE NOT effective against COVID-2019 and
can be harmful:
• Smoking
• Wearing multiple masks
• Taking antibiotics (See question 10 ""Are there any medicines of
therapies that can prevent or cure COVID-19?"")
In any case, if you have fever, cough and difficulty breathing
seek medical care early to reduce the risk of developing a more
severe infection and be sure to share your recent travel history with
your health care provider."
Protect yourself and others from COVID-19,"There is currently no vaccine to protect
against COVID-19. The best way to protect
yourself is to avoid being exposed to the
virus that causes COVID-19.
• Stay home as much as possible and avoid
close contact with others.
• Wear a mask that covers your nose and
mouth in public settings.
• Clean and disinfect frequently
touched surfaces.
• Wash your hands often with soap and water
for at least 20 seconds, or use an alcoholbased hand sanitizer that contains at least
60% alcohol."
How can I get tested for COVID-19?,"If you are well, no testing is recommended. If you are experiencing symptoms of COVID-19, you should immediately isolate yourself from others. Call your local UN clinic/medical facility to inform them of your condition and relevant travel/exposure history. If you had been identified as a close contact of a case by the local Ministry of Health or WHO, please also indicate this. From here you will be advised if a medical assessment is necessary and how to get tested."
What is the risk of my child becoming sick with COVID-19?,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. You can learn more about who is most at risk for health problems if they have COVID-19 infection on CDC’s current Risk Assessment page."
Can people who recover from COVID-19 be infected again?,"We know that for similar coronaviruses, infected people are unlikely to be re-infected shortly after they recover. However, because the immune response to COVID-19 is not yet understood, it is not yet known whether similar immune protection will be observed for patients who have recovered from COVID-19."
Is there a connection between COVID -19 and environment temperature?,"It is not known yet if weather and temperature changes impact or has any connection with COVID-19. At this time, it is not clear or known if the spread of COVID-19 will decrease when the weather becomes warmer."
How many cases in Andhra Pradesh,india_statewise('Andhra Pradesh')
How many cases in Arunachal Pradesh ,india_statewise('Arunachal Pradesh ')
How many cases in Assam,india_statewise('Assam')
How many cases in Bihar,india_statewise('Bihar')
How many cases in Chhattisgarh,india_statewise('Chhattisgarh')
How many cases in Goa,india_statewise('Goa')
How many cases in Gujarat,india_statewise('Gujarat')
How many cases in Haryana,india_statewise('Haryana')
How many cases in Himachal Pradesh,india_statewise('Himachal Pradesh')
How many cases in Jammu and Kashmir,india_statewise('Jammu and Kashmir')
How many cases in Jharkhand,india_statewise('Jharkhand')
How many cases in Karnataka,india_statewise('Karnataka')
How many cases in Kerala,india_statewise('Kerala')
How many cases in Madhya Pradesh,india_statewise('Madhya Pradesh')
How many cases in Maharashtra,india_statewise('Maharashtra')
How many cases in Manipur,india_statewise('Manipur')
How many cases in Meghalaya,india_statewise('Meghalaya')
How many cases in Mizoram,india_statewise('Mizoram')
How many cases in Nagaland,india_statewise('Nagaland')
How many cases in Odisha,india_statewise('Odisha')
How many cases in Punjab,india_statewise('Punjab')
How many cases in Rajasthan,india_statewise('Rajasthan')
How many cases in Sikkim,india_statewise('Sikkim')
How many cases in Tamil Nadu,india_statewise('Tamil Nadu')
How many cases in Telangana,india_statewise('Telangana')
How many cases in Tripura,india_statewise('Tripura')
How many cases in Uttar Pradesh,india_statewise('Uttar Pradesh')
How many cases in Uttarakhand,india_statewise('Uttarakhand')
How many cases in West Bengal,india_statewise('West Bengal')
How many cases in Andaman and Nicobar Islands,india_statewise('Andaman and Nicobar Islands')
How many cases in Chandigarh,india_statewise('Chandigarh')
How many cases in Dadra and Nagar Haveli,india_statewise('Dadra and Nagar Haveli')
How many cases in Daman and Diu,india_statewise('Daman and Diu')
How many cases in Lakshadweep,india_statewise('Lakshadweep')
How many cases in National Capital Territory of Delhi,india_statewise('National Capital Territory of Delhi')
How many cases in Puducherry,india_statewise('Puducherry')
How many cases in Afghanistan,country_wise('Afghanistan')
How many cases in Åland Islands,country_wise('Åland Islands')
How many cases in Albania,country_wise('Albania')
How many cases in Algeria,country_wise('Algeria')
How many cases in American Samoa,country_wise('American Samoa')
How many cases in Andorra,country_wise('Andorra')
How many cases in Angola,country_wise('Angola')
How many cases in Anguilla,country_wise('Anguilla')
How many cases in Antarctica,country_wise('Antarctica')
How many cases in Antigua and Barbuda,country_wise('Antigua and Barbuda')
How many cases in Argentina,country_wise('Argentina')
How many cases in Armenia,country_wise('Armenia')
How many cases in Aruba,country_wise('Aruba')
How many cases in Australia,country_wise('Australia')
How many cases in Austria,country_wise('Austria')
How many cases in Azerbaijan,country_wise('Azerbaijan')
How many cases in Bahamas,country_wise('Bahamas')
How many cases in Bahrain,country_wise('Bahrain')
How many cases in Bangladesh,country_wise('Bangladesh')
How many cases in Barbados,country_wise('Barbados')
